latitude_deg	longitude_deg	height_m	gravity_mGal	survey_ID	year	xGEOID17RefB	h
36.94983	-102.2	1193.3	979525.189	746	9999	-25.48243856739	1167.8175614326099
36.94817	-108.68833	1653.8	979382.039	746	9999	-21.3766378423	1632.4233621577
36.94733	-102.82	1286.0	979495.325	746	9999	-23.89351142778	1262.10648857222
36.94733	-102.62167	1235.5	979506.958	746	9999	-24.45948766093	1211.04051233907
36.945	-106.7895	2356.1	979188.305	746	9999	-18.48520274659	2337.61479725341
36.94417	-108.34167	2027.5	979271.566	746	9999	-21.25514805981	2006.24485194019
36.9395	-108.25	1870.6	979309.189	746	9999	-21.31381663992	1849.2861833600798
36.9395	-107.88667	1791.6	979307.152	746	9999	-21.25142635391	1770.34857364609
36.93783	-102.55833	1194.5	979517.086	746	9999	-24.62544154293	1169.87455845707
36.9355	-102.45833	1173.5	979524.339	746	9999	-24.86818055379	1148.63181944621
36.93467	-108.77167	1612.1	979389.0	746	9999	-21.49684681061	1590.60315318939
36.93467	-102.95666999999996	1312.8	979483.496	746	9999	-23.48984492794	1289.3101550720598
36.93467	-102.26333	1161.0	979531.726	746	9999	-25.3208075378	1135.6791924622
36.93467	-102.06167	1157.6	979535.716	746	9999	-25.80754113935	1131.79245886065
36.93233	-108.05333	1928.5	979288.681	746	9999	-21.33008043279	1907.16991956721
36.9315	-108.87167	1531.0	979396.835	746	9999	-21.62473090217	1509.37526909783
36.9315	-107.245	2211.9	979206.695	746	9999	-20.19029750293	2191.70970249707
36.9315	-107.15167	2215.6	979205.882	746	9999	-19.91385501061	2195.68614498939
36.9315	-107.0	2063.8	979236.202	746	9999	-19.40139401094	2044.3986059890601
36.9315	-106.93333	2086.2	979232.731	746	9999	-19.14948861186	2067.05051138814
36.9315	-106.6	2442.7	979165.235	746	9999	-17.78915715072	2424.91084284928
36.9275	-107.45833	1825.4	979286.768	746	9999	-20.7882450981	1804.6117549019
36.92667	-108.73333	1580.1	979397.793	746	9999	-21.46517147511	1558.6348285248898
36.92667	-108.2	1762.8	979326.368	746	9999	-21.37836235701	1741.42163764299
36.92667	-107.68333	2012.0	979245.296	746	9999	-21.15045939485	1990.84954060515
36.92667	-107.205	2072.3	979236.867	746	9999	-20.08542529901	2052.2145747009904
36.92433	-106.55883	2446.9	979166.683	746	9999	-17.64869584118	2429.25130415882
36.9235	-108.82833	1555.7	979396.575	746	9999	-21.59892565168	1534.10107434832
36.92117	-108.14	1802.0	979315.176	746	9999	-21.39107757452	1780.60892242548
36.92117	-102.135	1140.9	979533.321	746	9999	-25.65563388099	1115.24436611901
36.9195	-102.02667000000002	1149.1	979539.841	746	9999	-25.8833727752	1123.2166272247998
36.918	-102.515	1184.5	979519.281	746	9999	-24.74011259512	1159.75988740488
36.914	-108.66667	1621.8	979387.14	746	9999	-21.44651624634	1600.35348375366
36.91233	-108.61333	1604.2	979383.82	746	9999	-21.42984207499	1582.7701579250102
36.90683	-108.08667	1873.9	979297.132	746	9999	-21.42972939068	1852.47027060932
36.90683	-107.90667	1766.3	979314.102	746	9999	-21.36665330426	1744.93334669574
36.90683	-106.96333	2128.7	979219.308	746	9999	-19.37983440086	2109.3201655991397
36.90367	-102.935	1358.2	979469.433	746	9999	-23.59005701299	1334.60994298701
36.90367	-102.72000000000004	1268.6	979495.608	746	9999	-24.21923408066	1244.3807659193399
36.90117	-108.72333	1570.5	979398.236	746	9999	-21.51389057602	1548.98610942398
36.90117	-108.30833	1775.8	979324.697	746	9999	-21.46602156631	1754.33397843369
36.90117	-102.99833	1326.9	979476.427	746	9999	-23.38322786507	1303.51677213493
36.89883	-102.81833	1289.8	979488.422	746	9999	-23.93593334896	1265.86406665104
36.898	-108.775	1545.3	979401.613	746	9999	-21.56994496672	1523.73005503328
