Lon	Lat	h	gravity disturbance(mGal)
10.583333	44.25	1048.5635	32.78994864839
10.583333	44.333333	777.50905	-19.33980801407
10.583333	44.416667	480.21516	-81.74436603223
10.583333	44.5	473.4535	-95.6586510874
10.583333	44.583333	276.32296	-118.6860211043
10.583333	44.666667	70.758903	-140.8919020276
10.583333	44.75	42.941795	-141.425122183
10.583333	44.833333	1.1028065	-127.9899465372
10.583333	44.916667	11.129506	-123.5978560398
10.583333	45	40.290631	-99.56885981133
10.666667	43	25.20003	49.66675397089
10.666667	43.083333	159.64076	63.85271991558
10.666667	43.166667	265.7756	72.98116905741
10.666667	43.25	190.03811	62.64611220139
10.666667	43.333333	153.40977	59.50182722376
10.666667	43.416667	377.93204	90.18936406893
10.666667	43.5	216.74712	66.19655795426
10.666667	43.583333	73.122996	45.5058822066
10.666667	43.666667	11.675294	41.75404763167
10.666667	43.75	105.54491	47.12623101746
10.666667	43.833333	0	17.78854214152
10.666667	43.916667	455.49657	64.73905142386
10.666667	44	635.87576	66.92908997046
10.666667	44.083333	1004.6409	79.36621051101
10.666667	44.166667	1448.4914	98.20161668195
10.666667	44.25	996.14907	20.18794910974
10.666667	44.333333	888.85483	-15.58768711938
10.666667	44.416667	453.67893	-88.32982415008
10.666667	44.5	322.89275	-116.9070248018
10.666667	44.583333	172.4304	-131.1571260326
10.666667	44.666667	56.827312	-135.910616312
10.666667	44.75	57.673348	-130.233254059
10.666667	44.833333	10.028986	-121.3643534294
10.666667	44.916667	33.410953	-110.8626365101
10.666667	45	31.693572	-91.32908158218
10.75	43	98.220692	53.71886594698
10.75	43.083333	152.00217	58.48276251434
10.75	43.166667	238.51268	59.42148358606
10.75	43.25	301.21421	69.80464290773
10.75	43.333333	147.45929	56.86343866511
10.75	43.416667	205.39827	55.73597344846
10.75	43.5	57.054579	39.29418445612
10.75	43.583333	82.698211	42.17465288168
10.75	43.666667	44.158083	39.75827764542
10.75	43.75	3.3824934	24.45224699112
10.75	43.833333	0	15.83432611252
10.75	43.916667	408.84216	60.44095320554
10.75	44	663.74468	67.74739044708
10.75	44.083333	1038.1182	81.61332782031
10.75	44.166667	1360.8505	82.83318698261
10.75	44.25	857.76972	3.759200586018
10.75	44.333333	801.58327	-27.61800201121
10.75	44.416667	555.82498	-75.89028979922
10.75	44.5	307.76773	-108.76710479
10.75	44.583333	105.05106	-135.0255918453
10.75	44.666667	60.534747	-129.5925757601
10.75	44.75	4.7463034	-125.9656282885
10.75	44.833333	40.780954	-108.2965116639
10.75	44.916667	6.5867697	-101.0774502516
10.75	45	7.3242324	-89.08934370915
10.833333	42.833333	168.74656	69.8706002968
10.833333	42.916667	117.06718	63.76781630735
10.833333	43	141.86759	59.38591873278
10.833333	43.083333	209.99474	64.52960445369
10.833333	43.166667	360.56355	69.85471993577
10.833333	43.25	393.24737	73.85452628768
10.833333	43.333333	126.80216	46.30136999673
10.833333	43.416667	181.44207	46.60406915953
10.833333	43.5	125.10469	51.40323491304
10.833333	43.583333	183.89116	55.8597900179
10.833333	43.666667	69.920437	34.92480377698
10.833333	43.75	60.742019	20.18359954015
10.833333	43.833333	69.635266	26.97795230429
10.833333	43.916667	196.95035	34.55667802665
10.833333	44	662.7921	63.65757202129
10.833333	44.083333	1105.4108	84.8053104141
10.833333	44.166667	1097.324	56.39273667697
10.833333	44.25	591.32445	-27.32082066164
10.833333	44.333333	548.80121	-59.23354792667
10.833333	44.416667	566.32494	-77.40658090203
10.833333	44.5	281.81703	-108.2234914923
10.833333	44.583333	26.841376	-140.4296808071
10.833333	44.666667	74.206476	-128.5671790184
10.833333	44.75	0	-126.0592200717
10.833333	44.833333	53.301331	-91.81155233033
10.833333	44.916667	0	-86.53555623503
10.833333	45	39.091951	-77.50830491684
10.916667	42.333333	4.3184618	66.42710486418
10.916667	42.833333	208.3115	68.19171788166
10.916667	42.916667	146.55458	58.1928741374
10.916667	43	136.90986	54.71591100239
10.916667	43.083333	458.10589	81.60394977388
10.916667	43.166667	645.65421	94.4669564177
10.916667	43.25	408.74812	72.73297344739
10.916667	43.333333	169.54428	49.51490701668
10.916667	43.416667	400.81766	83.72770679177
10.916667	43.5	331.33672	85.56012495884
10.916667	43.583333	198.55628	58.65932289471
10.916667	43.666667	12.136132	21.790909069
10.916667	43.75	93.675253	26.78271388454
10.916667	43.833333	197.22357	35.75922538843
10.916667	43.916667	32.243599	7.492581868362
10.916667	44	643.65078	59.76441120801
10.916667	44.083333	1014.739	76.17107311439
10.916667	44.166667	752.84934	22.05019746224
10.916667	44.25	596.30684	-32.33496636277
10.916667	44.333333	544.68158	-61.2813326299
10.916667	44.416667	414.92125	-91.24404683707
10.916667	44.5	191.02387	-121.2883020569
10.916667	44.583333	17.60091	-135.589033067
10.916667	44.666667	71.24948	-120.7358824461
10.916667	44.75	10.470821	-117.7384283492
10.916667	44.833333	48.887166	-81.1892952802
10.916667	44.916667	0	-73.30088777238
10.916667	45	53.335869	-61.98709477712
11	42.75	0	43.89475760576
11	42.833333	36.538043	52.24213985571
11	42.916667	20.544916	43.5370920119
11	43	160.64243	55.75794839849
11	43.083333	578.9512	87.37061553798
11	43.166667	592.17548	89.5494677156
11	43.25	328.16465	68.73581032156
11	43.333333	255.0506	64.73772978133
11	43.416667	402.75369	89.69897627225
11	43.5	249.13026	72.10104823816
11	43.583333	86.370826	41.52482490056
11	43.666667	62.575161	24.42950257713
11	43.75	100.58084	37.11235832764
11	43.833333	128.6919	30.793213792
11	43.916667	56.586583	6.898643465902
11	44	675.82726	61.31855789278
11	44.083333	878.69565	60.19840050353
11	44.166667	550.46981	-3.829033818903
11	44.25	680.79861	-22.49222580026
11	44.333333	682.64559	-42.39072193091
11	44.416667	291.81561	-95.41511020821
11	44.5	109.68746	-122.6960280338
11	44.583333	56.272946	-124.4555424007
11	44.666667	16.649407	-120.1681279138
11	44.75	14.516376	-109.797022988
11	44.833333	19.599788	-77.36066635946
11	44.916667	4.5080376	-63.89906726625
11	45	10.831356	-55.16974328241
11.083333	42.666667	45.951374	54.65085554288
11.083333	42.75	0	43.94211751162
11.083333	42.833333	34.317957	52.87587902973
11.083333	42.916667	50.489603	49.82294031137
11.083333	43	245.08381	68.85394213203
11.083333	43.083333	503.70633	87.10178539548
11.083333	43.166667	373.71978	71.03696490685
11.083333	43.25	371.17718	73.07693552754
11.083333	43.333333	333.75043	74.2895501963
11.083333	43.416667	162.78398	56.06817259771
11.083333	43.5	135.96201	45.37676549408
11.083333	43.583333	140.02235	43.13717191433
11.083333	43.666667	240.4665	42.83253582393
11.083333	43.75	142.3632	36.26360065745
11.083333	43.833333	33.901875	13.92772918951
11.083333	43.916667	223.1307	24.52456059618
11.083333	44	665.73801	57.18707693116
11.083333	44.083333	815.0491	50.87659308121
11.083333	44.166667	549.47238	-5.694214479846
11.083333	44.25	477.84523	-38.32565374591
11.083333	44.333333	594.09956	-53.0744720443
11.083333	44.416667	326.18276	-94.76453563888
11.083333	44.5	87.58093	-119.1035037087
11.083333	44.583333	57.214147	-122.1714386187
11.083333	44.666667	0	-122.5373436487
11.083333	44.75	33.375694	-98.99134060731
11.083333	44.833333	0.26284303	-67.65336176571
11.083333	44.916667	33.493338	-47.37017704901
11.083333	45	0	-49.38159101417
11.166667	42.416667	93.205315	56.09764153292
11.166667	42.583333	15.92571	48.24000731141
11.166667	42.666667	117.48306	64.36222905286
11.166667	42.75	36.670183	49.09985479848
11.166667	42.833333	131.54944	60.45296936836
11.166667	42.916667	168.98743	61.59193736188
11.166667	43	272.1018	67.98507374537
11.166667	43.083333	438.54818	81.00968413753
11.166667	43.166667	341.61294	66.98914158569
11.166667	43.25	412.07163	74.94184040997
11.166667	43.333333	366.36252	77.73920084269
11.166667	43.416667	149.47372	50.30571556262
11.166667	43.5	261.18559	56.25438961445
11.166667	43.583333	243.32295	49.41422488152
