Lon	Lat	h	gravity disturbance(mGal)
15.177	44.548	2500	55.493383684
15.246	44.504	2500	47.03638989092
15.315	44.46	2500	44.88110746443
15.384	44.416	2500	48.10257369225
15.453	44.372	2500	48.07920951873
15.522	44.328	2500	37.36432629662
15.591	44.284	2500	21.96839505313
15.66	44.24	2500	11.81552723146
15.729	44.196	2500	6.001895263097
15.798	44.152	2500	0.3809434147684
15.867	44.108	2500	-2.733805263766
15.936	44.064	2500	-2.092473111759
16.005	44.02	2500	-0.1424723052423
16.074	43.976	2500	3.96811559078
16.143	43.932	2500	9.84424605317
16.212	43.888	2500	12.32789840504
16.281	43.844	2500	14.15650915408
16.35	43.8	2500	23.51391187307
16.419	43.756	2500	31.86132973134
16.488	43.712	2500	22.41217004926
16.557	43.668	2500	2.846886704866
16.626	43.624	2500	-3.997998347494
16.695	43.58	2500	1.941247282389
16.764	43.536	2500	3.786050868193
16.833	43.492	2500	0.6741693653112
16.902	43.448	2500	3.200737928744
16.971	43.404	2500	11.29671884232
17.04	43.36	2500	20.2200317581
17.109	43.316	2500	29.40221191761
17.178	43.272	2500	32.80208345444
17.247	43.228	2500	22.6666023881
17.316	43.184	2500	5.390797440263
17.385	43.14	2500	-7.043731604384
17.454	43.096	2500	-13.50725902771
17.523	43.052	2500	-15.28046602335
17.592	43.008	2500	-8.494593881991
17.661	42.964	2500	3.469150442648
17.73	42.92	2500	11.2766921788
17.799	42.876	2500	16.65803660806
17.868	42.832	2500	25.8244093688
17.937	42.788	2500	32.20445414662
18.006	42.744	2500	28.04604369206
18.075	42.7	2500	20.30287984169
18.144	42.656	2500	16.67186239214
18.213	42.612	2500	13.89597490089
18.282	42.568	2500	11.47007338496
18.351	42.524	2500	13.88481000575
18.42	42.48	2500	13.81548002275
18.489	42.436	2500	-0.501445681067
18.558	42.392	2500	-20.26408695901
18.627	42.348	2500	-25.67222091816
18.696	42.304	2500	-17.67543986855
18.765	42.26	2500	-14.06973419087
18.834	42.216	2500	-20.14661041816
18.903	42.172	2500	-27.47812867394
18.972	42.128	2500	-32.66957453771
19.041	42.084	2500	-36.23458873747
19.11	42.04	2500	-35.50535174632
19.179	41.996	2500	-34.54313428684
19.248	41.952	2500	-43.35102935631
19.317	41.908	2500	-57.80842482803
19.386	41.864	2500	-63.58308863579
19.455	41.82	2500	-61.7172205482
19.524	41.776	2500	-63.08414759904
19.593	41.732	2500	-63.72712004996
19.662	41.688	2500	-52.48913144875
19.731	41.644	2500	-29.92784440696
19.8	41.6	2500	-2.539003465607
14.111	44.964	2500	12.43806702096
14.18	44.92	2500	7.027553566097
14.249	44.876	2500	8.54497058782
14.318	44.832	2500	10.43831130705
14.387	44.788	2500	6.200400198253
14.456	44.744	2500	1.837955580086
14.525	44.7	2500	4.848200351759
14.594	44.656	2500	10.21010094675
14.663	44.612	2500	11.11185014011
14.732	44.568	2500	10.33267647639
14.801	44.524	2500	10.65288420197
14.87	44.48	2500	8.738293546706
14.939	44.436	2500	4.180392846109
15.008	44.392	2500	0.7940445787114
15.077	44.348	2500	-1.357313948169
15.146	44.304	2500	-3.734089428775
15.215	44.26	2500	-3.567480222522
15.284	44.216	2500	0.8891778280784
15.353	44.172	2500	6.133341301506
15.422	44.128	2500	9.413417456194
15.491	44.084	2500	11.43622293114
15.56	44.04	2500	12.21328154912
15.629	43.996	2500	11.49930403628
15.698	43.952	2500	11.07003533853
15.767	43.908	2500	11.03026774594
15.836	43.864	2500	9.067004638119
15.905	43.82	2500	6.781337823725
15.974	43.776	2500	9.201717373131
16.043	43.732	2500	15.91580951636
16.112	43.688	2500	20.30954079064
16.181	43.644	2500	17.69962281379
16.25	43.6	2500	8.049376017816
16.319	43.556	2500	-5.943285006893
16.388	43.512	2500	-17.52716239505
16.457	43.468	2500	-18.16591926822
16.526	43.424	2500	-6.940771878838
16.595	43.38	2500	6.79115912714
16.664	43.336	2500	12.97132936759
16.733	43.292	2500	9.439371039299
16.802	43.248	2500	1.727009768437
16.871	43.204	2500	-2.390646972117
16.94	43.16	2500	0.005511635237099
17.009	43.116	2500	5.115151149937
17.078	43.072	2500	10.00156924995
17.147	43.028	2500	16.49559305132
17.216	42.984	2500	23.30310125149
17.285	42.94	2500	24.40236768173
17.354	42.896	2500	20.68808610804
17.423	42.852	2500	20.54248957641
17.492	42.808	2500	24.69628761048
17.561	42.764	2500	24.57349818545
17.63	42.72	2500	17.45505117157
17.699	42.676	2500	9.411522358604
17.768	42.632	2500	3.648519668964
17.837	42.588	2500	-2.387809723992
17.906	42.544	2500	-10.18840055504
17.975	42.5	2500	-18.09436714257
18.044	42.456	2500	-23.79340440068
18.113	42.412	2500	-26.15777735286
18.182	42.368	2500	-26.56964270908
18.251	42.324	2500	-27.88373850908
